Flip Flop Sum,https://codeforces.com/problemset/problem/1778/A,800,no,yes,no
Emordnilap,https://codeforces.com/problemset/problem/1777/B,800,no,yes,no
Everybody Likes Good Arrays!,https://codeforces.com/problemset/problem/1777/A,900,no,yes,no
Walking Boy,https://codeforces.com/problemset/problem/1776/A,800,no,yes,no
Gardener and the Capybaras (hard version),https://codeforces.com/problemset/problem/1775/A2,800,no,yes,no
Different Differences,https://codeforces.com/problemset/problem/1772/C,800,no,yes,no
Koxia and Whiteboards,https://codeforces.com/problemset/problem/1770/A,1000,no,yes,no
Подкрутка I,https://codeforces.com/problemset/problem/1769/C1,1000,yes,yes,no
Quick Sort,https://codeforces.com/problemset/problem/1768/B,800,no,yes,no
Greatest Convex,https://codeforces.com/problemset/problem/1768/A,900,no,yes,no
Block Towers,https://codeforces.com/problemset/problem/1767/B,800,no,yes,no
Broken Keyboard,https://codeforces.com/problemset/problem/1765/B,1000,no,yes,no
Doremy's Paint,https://codeforces.com/problemset/problem/1764/A,900,no,yes,no
Incinerate,https://codeforces.com/problemset/problem/1763/B,800,no,no,yes
Absolute Maximization,https://codeforces.com/problemset/problem/1763/A,1200,no,yes,no
Divide and Conquer,https://codeforces.com/problemset/problem/1762/A,1100,no,yes,no
Elimination of a Ring,https://codeforces.com/problemset/problem/1761/B,800,no,yes,no
Binary Inversions,https://codeforces.com/problemset/problem/1760/E,800,no,yes,no
Atilla's Favorite Problem,https://codeforces.com/problemset/problem/1760/B,800,no,yes,no
Thermostat,https://codeforces.com/problemset/problem/1759/C,800,no,yes,no
Kevin and Permutation,https://codeforces.com/problemset/problem/1754/B,800,no,yes,no
Technical Support,https://codeforces.com/problemset/problem/1754/A,800,no,yes,no
Maximum Substring,https://codeforces.com/problemset/problem/1750/B,800,no,yes,no
Death's Blessing,https://codeforces.com/problemset/problem/1749/B,800,no,yes,no
Cowardly Rooks,https://codeforces.com/problemset/problem/1749/A,900,no,yes,no
Two Groups,https://codeforces.com/problemset/problem/1747/A,900,no,yes,no
Rebellion,https://codeforces.com/problemset/problem/1746/B,800,no,yes,no
Maxmina,https://codeforces.com/problemset/problem/1746/A,800,no,yes,no
Divisibility by 2^n,https://codeforces.com/problemset/problem/1744/D,800,no,yes,no
Traffic Light,https://codeforces.com/problemset/problem/1744/C,1200,no,no,yes
Number Replacement,https://codeforces.com/problemset/problem/1744/A,800,no,yes,no
Save the Magazines,https://codeforces.com/problemset/problem/1743/C,800,yes,yes,no
Permutation Value,https://codeforces.com/problemset/problem/1743/B,1100,no,yes,no
Scuza,https://codeforces.com/problemset/problem/1742/E,800,no,yes,yes
Coprime,https://codeforces.com/problemset/problem/1742/D,1200,no,yes,no
Minimize the Thickness,https://codeforces.com/problemset/problem/1741/C,800,no,yes,no
